Город;id вуза;Аббревиатура;Крупное направление;Направление подготовки;id профиля;Профиль;Факультет;Есть набор в 2020 году;2020 очная Прох.балл Бюджет 1 волна;2020 очная Прох.балл Бюджет 2 волна;2020 очная Прох.балл Платно ;2020 очная Число мест Бюджет;2020 очная Число мест Платно;2020 очная Конкурс Бюджет ;2020 очная Конкурс Платно ;2020 очная Срок;2020 очная Стоимость;2020 очно-заочная Прох.балл Бюджет ;2020 очно-заочная Число мест Бюджет;2020 очно-заочная Число мест Платно;2020 очно-заочная Срок;2020 очно-заочная Стоимость;2020 заочная Прох.балл Бюджет ;2020 заочная Число мест Бюджет;2020 заочная Число мест Платно;2020 заочная Срок;2020 заочная Стоимость;2019 очная Прох.балл Бюджет 1 волна;2019 очная Прох.балл Бюджет 2 волна;2019 очная Прох.балл Платно;2019 очная Число мест Бюджет;2019 очная Число мест Платно;2019 очная Конкурс Бюджет;2019 очная Конкурс Платно;2019 очная Срок;2019 очная Стоимость;2019 очно-заочная Прох.балл Бюджет;2019 очно-заочная Число мест Бюджет;2019 очно-заочная Число мест Платно;2019 очно-заочная Срок;2019 очно-заочная Стоимость;2019 заочная Прох.балл Бюджет;2019 заочная Число мест Бюджет;2019 заочная Число мест Платно;2019 заочная Срок;2019 заочная Стоимость;2018 очная Прох.балл Бюджет 1 волна;2018 очная Прох.балл Бюджет 2 волна;2018 очная Прох.балл Платно;2018 очная Число мест Бюджет;2018 очная Число мест Платно;2018 очная Конкурс Бюджет;2018 очная Конкурс Платно;2018 очная Срок;2018 очная Стоимость;2018 очно-заочная Прох.балл Бюджет;2018 очно-заочная Число мест Бюджет;2018 очно-заочная Число мест Платно;2018 очно-заочная Срок;2018 очно-заочная Стоимость;2018 заочная Прох.балл Бюджет;2018 заочная Число мест Бюджет;2018 заочная Число мест Платно;2018 заочная Срок;2018 заочная Стоимость;2017 очная Прох.балл Бюджет 1 волна;2017 очная Прох.балл Бюджет 2 волна;2017 очная Прох.балл Платно;2017 очная Число мест Бюджет;2017 очная Число мест Платно;2017 очная Конкурс Бюджет;2017 очная Конкурс Платно;2017 очная Срок;2017 очная Стоимость;2017 очно-заочная Прох.балл Бюджет;2017 очно-заочная Число мест Бюджет;2017 очно-заочная Число мест Платно;2017 очно-заочная Срок;2017 очно-заочная Стоимость;2017 заочная Прох.балл Бюджет;2017 заочная Число мест Бюджет;2017 заочная Число мест Платно;2017 заочная Срок;2017 заочная Стоимость;2016 очная Прох.балл Бюджет 1 волна;2016 очная Прох.балл Бюджет 2 волна;2016 очная Прох.балл Платно;2016 очная Число мест Бюджет;2016 очная Число мест Платно;2016 очная Конкурс Бюджет;2016 очная Конкурс Платно;2016 очная Срок;2016 очная Стоимость;2016 очно-заочная Прох.балл Бюджет;2016 очно-заочная Число мест Бюджет;2016 очно-заочная Число мест Платно;2016 очно-заочная Срок;2016 очно-заочная Стоимость;2016 заочная Прох.балл Бюджет;2016 заочная Число мест Бюджет;2016 заочная Число мест Платно;2016 заочная Срок;2016 заочная Стоимость;Содержание программы;Профессии;Адрес обучения по данному профилю;Min балл Мат;Min балл Рус;Min балл Общ;Min балл Физ;Min балл Био;Min балл Ист;Min балл Иняз;Min балл Хим;Min балл Лит;Min балл Инф;Min балл Гео;Мат;Рус;Общ;Физ;Био;Ист;Иняз;Хим;Лит;Инф;Гео;ДВИ1;ДВИ2;ДВИ3;ДВИ4;ДВИ5;ДВИ6;ДВИ7;Золотая медаль;Значок ГТО;Перечневая олимпиада;Волонтерство;Итоговое сочинение;КОНЕЦ ТАБЛИЦЫ
г. Москва;0006;НИУ «МЭИ»;Математические науки;01.03.02 Прикладная математика и информатика;000312;Математическое и программное обеспечение вычислительных машин и компьютерных сетей;Институт Информационных и вычислительных технологий ИВТИ;Да;;;;60;40;;;4;;;0;0;;;;0;0;;;255;249;105;100;20;;;4; 198,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ учатся выполнять работы по технологической подготовке производства материалов и изделий квантовой электроники и электронной техники, осуществлять контроль соответствия разрабатываемых проектов и технической документации стандартам, а также работать в профильных компьютерных программах.;Инженер-исследователь, инженер-физик, инженер-электроник, инженер электронной техники, специалист по технологиям и приборам квантовой электроники и фотоники;г. Москва, ул. Красноказарменная, д. 17;39;40;;;;;;;;42;;2;1;0;0;0;0;0;0;0;1;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Математические науки;01.03.02 Прикладная математика и информатика;000313;Математическое моделирование;Институт Информационных и вычислительных технологий ИВТИ;Да;;;;40;20;;;4;;;0;0;;;;0;0;;;255;249;105;100;20;;;4; 198,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ изучают следующие предметы: инженерная и компьютерная графика, информационные технологии, метрология и радиоизмерения, электродинамика и распространение радиоволн. Дополнительно учащиеся получают навыки в области теории систем и комплексов радиоэлектронной борьбы, радиоматериалов и радиокомпонентов, радиотехнических цепей и сигналов.;Инженер-исследователь по развитию спутниковых навигационных систем, инженер-конструктор радиоэлектронной аппаратуры, инженер по приборам ориентации, навигации и стабилизации летательных аппаратов, инженер-радиотехник, инженер-радиоэлектронщик, радиофизик;г. Москва, ул. Красноказарменная, д. 17;39;40;;;;;;;;42;;2;1;0;0;0;0;0;0;0;1;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Архитектура и технологии строительства;08.03.01 Строительство;209102;Промышленное гражданское и энергетическое строительство;Институт гидроэнергетики и возобновляемых источников;Да;;;;18;10;;;4;;;0;25;5;;;0;50;5;;205;195;162;17;25;;;4; 220,000    ;Набора не было;0;25;5;92,000;Набора не было;0;25;5; 93,000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Отдельное внимание учащиеся уделяют исследованию особенностей промышленного и гражданского строительства. Студенты учатся разрабатывать проекты реконструкции, застройки и планировки городских и сельских поселений, жилых районов и микрорайонов, промышленных сооружений, транспортных систем, проводить обследование и строительную экспертизу безопасности различных сооружений, а также выполнять работы по реконструкции зданий, сооружений и объектов историко-культурного наследия.;"Арматурщик; архитектор; архитектор-реставратор; градостроитель; инженер транспортного строительства; инженер-проектировщик; инженер-сметчик; инженер-строитель; ландшафтный архитектор; маркетолог; маркшейдер; риелтор; специалист по монолиту; специалист по облицовочным работам; специалист по отделочным работам; строитель; эколог градостроительства; энергетик";г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;1;1;0;2;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Компьютерные и информационные науки;09.03.01 Информатика и вычислительная техника;000316;Вычислительно-измерительные системы;Институт Информационных и вычислительных технологий ИВТИ;Да;;;;150;30;;;4;;;0;0;;;;0;0;;;246;243;133;150;30;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ получают знания в области технологий, энергоиспользования, эксплуатации в промышленной теплоэнергетике, получают навыки в системах производства и распределения энергоносителей, обеспечения надёжности теплоэнергетических систем, приобретают знания в области теплотехники, теплогенерирующих установок, моделирования, алгоритмизации и оптимизации элементов и систем теплоэнергоснабжения.;Инженер-проектировщик тепловых сетей, инженер-теплотехник, инженер-теплоэнергетик, инженер-энергетик;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;42;;2;1;0;0;0;0;0;0;0;1;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Компьютерные и информационные науки;09.03.01 Информатика и вычислительная техника;000318;Вычислительные машины, комплексы, системы и сети;Институт Информационных и вычислительных технологий ИВТИ;Да;;;;150;30;;;4;;;0;0;;;;0;0;;;246;243;133;150;30;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ изучают процессы энергообеспечения промышленных предприятий и объектов ЖКХ, объекты малой энергетики, установки, системы и комплексы промышленных технологий. Отдельное внимание уделяется применению новых технологий в профильной сфере.;Инженер-теплотехник, инженер-теплоэнергетик, менеджер по модернизации систем энергогенерации;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;42;;2;1;0;0;0;0;0;0;0;1;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Компьютерные и информационные науки;09.03.01 Информатика и вычислительная техника;000317;Системы автоматизированного проектирования;Институт Информационных и вычислительных технологий ИВТИ;Да;;;;150;30;;;4;;;0;0;;;;0;0;;;246;243;133;150;30;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ получают знания в области теплотехнологий, теплотехнических процессов и установок, получают навыки в энергосбережении, организации испытаний теплотехнических систем, приобретают знания в области теплотехники, гидрогазодинамики, моделирования, автоматизированнного проектирования.;Инженер-проектировщик систем теплоснабжения, инженер-проектировщик тепловых сетей, инженер теплоснабжения и вентиляции, инженер-теплотехник, инженер-теплофизик, инженер-теплоэнергетик, инженер-энергетик;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;42;;2;1;0;0;0;0;0;0;0;1;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Компьютерные и информационные науки;09.03.01 Информатика и вычислительная техника;000309;Автоматизированные системы обработки информации и управления;Институт Информационных и вычислительных технологий ИВТИ;"Нет
";;;;0;0;;;;;;0;0;;;;0;0;;;246;243;133;150;30;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ изучают современные электронные системы и устройства, применяемые в промышленности. Сюда относятся как микропроцессорные системы, осуществляющие сбор и обработку информации, компьютерные системы, осуществляющие управление сложными технологическими процессами, так и системы силовой электроники, обеспечивающие работу сложных производственных механизмов и устройств.;Инженер-электроник, инженер электронной техники, инженер-электронщик;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Компьютерные и информационные науки;09.03.03 Прикладная информатика;000307;Прикладная информатика в экономике;Инженерно-экономический институт;Да;;;;20;100;;;4;;;15;100;5;;;0;100;5;;232;263;136;15;40;;;4; 220,000    ;Набора не было;0;100;5;102,000;Набора не было;0;100;5; 86,000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ изучают комплекс дисциплин в сфере радиотехники. Дополнительно учащиеся получают навыки составления технической документации, работы с профессиональным оборудованием.;Программист-разработчик, радиомонтажник, инженер связи, радиоинженер, радиоэлектронщик, инженер-схемотехник, инженер по телекоммуникациям, инженер-микроэлектронщик;г. Москва, ул. Красноказарменная, д. 17;39;40;;;;;;;;42;;2;1;0;0;0;0;0;0;0;1;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Компьютерные и информационные науки;10.03.01 Информационная безопасность;000311;Безопасность компьютерных систем;Инженерно-экономический институт;Да;;;;15;55;;;4;;;15;200;5;;;0;0;;;235;263;125;14;30;;;4; 220,000    ;Набора не было;0;100;5;102,000;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ учатся выполнять расчёты и проектирование электронных приборов, разрабатывать программы испытания и системы контроля новых электронных средств, а также проводить научные исследования в области твердотельной электроники и микроэлектроники.;Программист-разработчик, электроник, инженер-схемотехник, нанотехнолог, нанофизик, инженер-микроэлектронщик, электронщик;г. Москва, ул. Красноказарменная, д. 17;39;40;;;;;;;;42;;2;1;0;0;0;0;0;0;0;1;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Компьютерные и информационные науки;10.03.01 Информационная безопасность;000308;Организация и технология защиты информации;Инженерно-экономический институт;Да;;;;30;145;;;4;;;0;0;;;;0;0;;;258;263;130;30;30;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Учащиеся МЭИ уделяют особое внимание изучению электроники, а также нанотехнологиям. Студенты учатся решать технологические задачи, разрабатывать инновационные изделия, а также проводить профессиональные исследования.;Инженер-электроник, инженер-схемотехник, электрик, инженер, техник;г. Москва, ул. Красноказарменная, д. 17;39;40;;;;;;;;42;;2;1;0;0;0;0;0;0;0;1;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Приборостроение;11.03.01 Радиотехника;000314;Радиотехнические средства передачи, приема и обработки сигналов;Институт радиотехники и электроники;Да;;;;95;20;;;4;;;0;0;;;;0;0;;;202;199;175;100;20;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ учатся оценивать степень контролепригодности объектов, осуществлять основные технологические операции по контролю объектов с использованием универсальных и специализированных видов средств контроля, а также работать с профессиональным оборудованием.;Инженер-конструктор, инженер-конструктор радиоэлектронной аппаратуры, инженер-системотехник, инженер-схемотехник;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Приборостроение;11.03.04 Электроника и наноэлектроника;000310;Нанотехнология в электронике;Институт электротехники;"Нет
";;;;0;0;;;;;;0;0;;;;0;0;;;215;207;166;25;3;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ специализируются на изучении светотехники и источников света. В курсе учащиеся познакомятся с различными техническими дисциплинами, получат навыки работа с профессиональным оборудованием.;Инженер оптико-электронных приборов, инженер-электроник, инженер электронной техники, светоэлектротехник;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Приборостроение;11.03.04 Электроника и наноэлектроника;209784;Лазерная и оптическая измерительная электроника;Институт радиотехники и электроники;Да;;;;150;20;;;4;;;0;0;;;;0;0;;;213;208;151;150;20;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ учатся проводить сбор и анализ материалов организаций и предприятий для принятия мер по обеспечению информационной безопасности, находить возможные каналы утечки сведений, представляющих государственную, военную, служебную или коммерческую тайну, а также разрабатывать предложения по совершенствованию и повышению эффективности средств информационной безопасности.;Администратор базы данных, программист, специалист организационно-правовой защиты информации, специалист программно-аппаратной защиты информации, ERP-программист, IT-специалист, инженер по защите информации, специалист SAP, специалист по технической защите информации, разработчик баз данных;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Приборостроение;11.03.04 Электроника и наноэлектроника;000305;Микроэлектроника и твердотельная электроника;Институт радиотехники и электроники;Да;;;;150;20;;;4;;;0;0;;;;0;0;;;213;208;151;150;20;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ учатся проводить сбор и анализ материалов организаций и предприятий для принятия мер по обеспечению информационной безопасности, находить возможные каналы утечки сведений, представляющих государственную, военную, служебную или коммерческую тайну, а также разрабатывать предложения по совершенствованию и повышению эффективности средств информационной безопасности.;Администратор базы данных, программист, специалист организационно-правовой защиты информации, специалист программно-аппаратной защиты информации, ERP-программист, IT-специалист, инженер по защите информации, специалист SAP, специалист по технической защите информации, разработчик баз данных;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Приборостроение;11.03.04 Электроника и наноэлектроника;000303;Промышленная электроника;Институт радиотехники и электроники;Да;;;;150;20;;;4;;;0;0;;;;0;0;;;213;208;151;150;20;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ учатся разрабатывать бортовые резервированные вычислительные систем обработки информации различных фото-приемных устройств для космических аппаратов, осуществляющих наблюдение за земной поверхностью.;IT-специалист, mobile-разработчик, WEB-администратор, WEB-дизайнер, WEB-программист, администратор базы данных, оператор ЭВМ, программист, разработчик баз данных, системный аналитик, системный программист, специалист SAP, трафик-менеджер, электроник;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Приборостроение;11.03.04 Электроника и наноэлектроника;000304;Светотехника и источники света;Институт радиотехники и электроники;Да;;;;150;20;;;4;;;0;0;;;;0;0;;;213;208;151;150;20;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;В рамках обучения студенты МЭИ делают упор на изучение экономических процессов, а также учатся применять методы информатики в экономике. Бакалавры МЭИУ учатся проводить оценку экономических затрат на проекты по информатизации и автоматизации решения прикладных задач, разрабатывать варианты автоматизированного решения прикладных задач, а также моделировать прикладные и информационные процессы.;Системный администратор, администратор базы данных, программист, аналитик компьютерных данных, разработчик компьютерных программ, системный инженер, специалист по обслуживанию компьютерных сетей, оператор базы данных, специалист по проектированию информационных систем, mobile-разработчик;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Приборостроение;11.03.04 Электроника и наноэлектроника;000306;Квантовая электроника;Институт радиотехники и электроники;"Нет
";;;;0;0;;;;;;0;0;;;;0;0;;;213;208;151;150;20;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ учатся проводить сбор и анализ материалов организаций и предприятий для принятия мер по обеспечению информационной безопасности, находить возможные каналы утечки сведений, представляющих государственную, военную, служебную или коммерческую тайну, а также разрабатывать и оформлять проектную и рабочую техническую документацию согласно стандартам.;Администратор базы данных, программист, специалист организационно-правовой защиты информации, специалист программно-аппаратной защиты информации, ERP-программист, IT-специалист, инженер по защите информации, специалист SAP, специалист по технической защите информации, разработчик баз данных;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Приборостроение;11.05.01 Радиоэлектронные системы и комплексы;000301;Радионавигационные системы и комплексы;Институт радиотехники и электроники;Да;;;;47;10;;;5.5;;;0;0;;;;0;0;;;198;195;150;38;10;;;5.5; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ изучают различные вычислительно-измерительные системы, их свойства, устройство, а также назначение. Дополнительно учащиеся получают навыки работы с профессиональным оборудованием.;Инженер-электрик, инженер-энергетик, диспетчер энергосистемы, инженер-электротехник;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
г. Москва;0006;НИУ «МЭИ»;Приборостроение;12.03.01 Приборостроение;000302;Приборы и методы контроля качества и диагностики;Институт Информационных и вычислительных технологий ИВТИ;Да;;;;21;5;;;4;;;0;0;;;;0;0;;;216;214;171;30;5;;;4; 220,000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты МЭИ осваивают компьютеризированные системы проектирования, методологию реализации проектов с использованием современных информационных технологий, приобретают навыки по управлению ресурсами IT-проектов.;Программист, разработчик программного обеспечения, разработчик математических и компьютерных моделей, системный программист, специалист по математическому моделированию;г. Москва, ул. Красноказарменная, д. 17;39;40;;40;;;;;;;;2;1;0;1;0;0;0;0;0;0;0;;;;;;;;5;1;5;0;0;
